ZoneName	Time	SystemTime	Frame	Velocity	LaneName	LanePos	LaneIndex	LaneCount	LaneHeading	SpeedLimit	Steer	Accel	Brake	Gear	Horn	SubjectEngineRPM	SubjectHeading	SubjectPitch	SubjectRoll	SubjectX	SubjectY	SubjectZ	Signal	LatAccel	LongAccel	Collision	CollisionAngle	CollisionVelocity	VehAhead	HeadwayTime	HeadwayDist	TTC	TerrainType	CultureType	Slip	DigitalInputs	DigitalInputs2	ActiveTrigger	EntityName	DistToEntity	TimeToEntity	EntityVelocity	EntityAccel	EntityHeading	EntityX	EntityY	EntityZ	GrabData	
Unknown	148.98631	10/22/0116 07:49.49	00008939	9.236	Inter682t1-1	-0.007	1	1	180.000	11.111	-2.4	0.000	0.000	D	F	907.6	180.356	0.196	0.011	696.410	776.212	0.029	-	-0.060	-0.489	-	-	-	Ambient328	2.412	22.274	-	PAVEMENT_GENERAL	Urban	F	1011101000000001	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	
Unknown	149.98633	10/22/0116 07:49.50	00008999	8.750	Inter682t1-1	0.029	1	1	180.000	11.111	-0.1	0.000	0.000	D	F	859.9	180.199	0.196	0.000	696.375	767.220	0.029	-	-0.002	-0.483	-	-	-	Ambient328	2.669	23.352	-	PAVEMENT_GENERAL	Urban	F	1011101000000001	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	
Unknown	150.98636	10/22/0116 07:49.51	00009059	8.270	Inter682t1-1	0.054	1	1	180.000	11.111	-0.8	0.000	0.000	D	F	812.8	180.121	0.197	0.003	696.350	758.710	0.029	-	-0.020	-0.477	-	-	-	Ambient328	3.013	24.914	-	PAVEMENT_GENERAL	Urban	F	1111101000000001	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	
Unknown	151.98637	10/22/0116 07:49.52	00009119	7.796	Inter682t1-1	0.060	1	1	180.000	11.111	5.3	0.005	0.000	D	F	768.0	180.031	0.197	-0.021	696.344	750.678	0.028	-	0.122	-0.471	-	-	-	Ambient328	3.457	26.952	-	PAVEMENT_GENERAL	Urban	F	1111101000000001	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	
Unknown	152.98639	10/22/0116 07:49.53	00009179	8.170	Inter682t1-1	0.170	1	1	180.000	11.111	1.4	0.157	0.000	D	F	1494.7	181.222	0.206	-0.003	696.234	742.804	0.023	-	0.027	0.702	-	-	-	Ambient328	3.568	29.149	-	PAVEMENT_GENERAL	Urban	F	1111101000000001	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	
Unknown	153.98642	10/22/0116 07:49.54	00009239	9.142	Inter682t1-1	0.272	1	1	180.000	11.111	-17.5	0.229	0.000	D	F	1892.4	179.864	0.217	0.068	696.132	734.212	0.021	-	-0.448	1.345	-	-	-	Ambient328	3.350	30.627	-	PAVEMENT_GENERAL	Urban	F	1011101000000001	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	
Unknown	154.98643	10/22/0116 07:49.55	00009299	10.343	Inter682t1-1	0.171	1	1	180.000	11.111	4.8	0.213	0.000	D	F	1970.1	179.790	0.210	-0.021	696.233	724.450	0.021	-	0.172	1.091	-	-	-	Ambient328	2.991	30.936	116.543	PAVEMENT_GENERAL	Urban	F	1011101000000001	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	
Unknown	155.98645	10/22/0116 07:49.56	00009359	11.359	Inter682t1-1	0.153	1	1	180.000	11.111	-1.7	0.212	0.000	D	F	2057.9	179.829	0.208	0.006	696.251	713.588	0.022	-	-0.054	0.956	-	-	-	Ambient328	2.654	30.145	23.518	PAVEMENT_GENERAL	Urban	F	1011101000000001	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	
Unknown	156.98647	10/22/0116 07:49.57	00009419	12.258	Inter682t1-1	0.061	1	1	180.000	11.111	0.4	0.182	0.000	D	F	2105.8	179.304	0.202	0.003	696.343	701.766	0.022	-	-0.027	0.745	-	-	-	Ambient328	2.316	28.394	13.024	PAVEMENT_GENERAL	Urban	F	1111101000000001	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	
Unknown	157.98650	10/22/0116 07:49.58	00009479	12.427	Inter682t1-1	-0.026	1	1	180.000	11.111	5.4	0.000	0.000	D	F	1224.8	180.094	0.180	-0.034	696.430	689.309	0.027	-	0.259	-0.574	-	-	-	Ambient328	2.093	26.008	11.070	PAVEMENT_GENERAL	Urban	F	1011101000000001	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	
